Image_path,Label
CelebA_Spoof\Data\train\983\live\384505.jpg,0
CelebA_Spoof\Data\train\983\live\400437.jpg,0
CelebA_Spoof\Data\train\983\live\408810.jpg,0
CelebA_Spoof\Data\train\983\live\448138.jpg,0
CelebA_Spoof\Data\train\983\live\463293.jpg,0
CelebA_Spoof\Data\train\983\live\480299.jpg,0
CelebA_Spoof\Data\train\983\live\488091.jpg,0
CelebA_Spoof\Data\train\983\live\489192.jpg,0
CelebA_Spoof\Data\train\983\live\491560.jpg,0
CelebA_Spoof\Data\train\9830\live\006980.jpg,0
CelebA_Spoof\Data\train\9830\live\044538.jpg,0
CelebA_Spoof\Data\train\9830\live\048262.jpg,0
CelebA_Spoof\Data\train\9830\live\069394.jpg,0
CelebA_Spoof\Data\train\9830\live\075869.jpg,0
CelebA_Spoof\Data\train\9830\live\100511.jpg,0
CelebA_Spoof\Data\train\9830\live\101470.jpg,0
CelebA_Spoof\Data\train\9830\live\119979.jpg,0
CelebA_Spoof\Data\train\9830\live\157277.jpg,0
CelebA_Spoof\Data\train\9830\live\174549.jpg,0
CelebA_Spoof\Data\train\9830\live\185449.jpg,0
CelebA_Spoof\Data\train\9830\live\206044.jpg,0
CelebA_Spoof\Data\train\9830\live\214061.jpg,0
CelebA_Spoof\Data\train\9830\live\260630.jpg,0
CelebA_Spoof\Data\train\9830\live\278257.jpg,0
CelebA_Spoof\Data\train\9830\live\279692.jpg,0
CelebA_Spoof\Data\train\9830\live\288526.jpg,0
CelebA_Spoof\Data\train\9830\live\302964.jpg,0
CelebA_Spoof\Data\train\9830\live\313989.jpg,0
CelebA_Spoof\Data\train\9830\live\321065.jpg,0
CelebA_Spoof\Data\train\9830\live\325959.jpg,0
CelebA_Spoof\Data\train\9830\live\345712.jpg,0
CelebA_Spoof\Data\train\9830\live\352834.jpg,0
CelebA_Spoof\Data\train\9830\live\378027.jpg,0
CelebA_Spoof\Data\train\9830\live\393179.jpg,0
CelebA_Spoof\Data\train\9830\live\433264.jpg,0
CelebA_Spoof\Data\train\9830\live\448903.jpg,0
CelebA_Spoof\Data\train\9830\live\448915.jpg,0
CelebA_Spoof\Data\train\9830\live\460822.jpg,0
CelebA_Spoof\Data\train\9830\live\467297.jpg,0
CelebA_Spoof\Data\train\9833\live\153416.jpg,0
CelebA_Spoof\Data\train\9833\live\336851.jpg,0
CelebA_Spoof\Data\train\9833\live\432369.jpg,0
CelebA_Spoof\Data\train\9834\live\075125.jpg,0
CelebA_Spoof\Data\train\9834\live\349556.jpg,0
CelebA_Spoof\Data\train\9834\live\474663.jpg,0
CelebA_Spoof\Data\train\9835\live\008193.jpg,0
CelebA_Spoof\Data\train\9835\live\061619.jpg,0
CelebA_Spoof\Data\train\9835\live\064735.jpg,0
CelebA_Spoof\Data\train\9835\live\412212.jpg,0
CelebA_Spoof\Data\train\9835\live\447866.jpg,0
CelebA_Spoof\Data\train\9835\live\494387.jpg,0
CelebA_Spoof\Data\train\9836\live\047915.jpg,0
CelebA_Spoof\Data\train\9836\live\059267.jpg,0
CelebA_Spoof\Data\train\9836\live\092458.jpg,0
CelebA_Spoof\Data\train\9836\live\106165.jpg,0
CelebA_Spoof\Data\train\9836\live\163742.jpg,0
CelebA_Spoof\Data\train\9836\live\183391.jpg,0
CelebA_Spoof\Data\train\9836\live\222235.jpg,0
CelebA_Spoof\Data\train\9836\live\246806.jpg,0
CelebA_Spoof\Data\train\9836\live\281416.jpg,0
CelebA_Spoof\Data\train\9836\live\289931.jpg,0
CelebA_Spoof\Data\train\9836\live\292893.jpg,0
CelebA_Spoof\Data\train\9836\live\308225.jpg,0
CelebA_Spoof\Data\train\9836\live\313915.jpg,0
CelebA_Spoof\Data\train\9836\live\329756.jpg,0
CelebA_Spoof\Data\train\9836\live\349247.jpg,0
CelebA_Spoof\Data\train\9836\live\364798.jpg,0
CelebA_Spoof\Data\train\9836\live\443222.jpg,0
CelebA_Spoof\Data\train\9836\live\446895.jpg,0
CelebA_Spoof\Data\train\9836\live\466714.jpg,0
CelebA_Spoof\Data\train\9836\live\478428.jpg,0
CelebA_Spoof\Data\train\9837\live\023310.jpg,0
CelebA_Spoof\Data\train\9837\live\063380.jpg,0
CelebA_Spoof\Data\train\9837\live\065321.jpg,0
CelebA_Spoof\Data\train\9837\live\123909.jpg,0
CelebA_Spoof\Data\train\9837\live\161699.jpg,0
CelebA_Spoof\Data\train\9837\live\189258.jpg,0
CelebA_Spoof\Data\train\9837\live\192846.jpg,0
CelebA_Spoof\Data\train\9837\live\203708.jpg,0
CelebA_Spoof\Data\train\9837\live\220866.jpg,0
CelebA_Spoof\Data\train\9837\live\268496.jpg,0
CelebA_Spoof\Data\train\9837\live\277753.jpg,0
CelebA_Spoof\Data\train\9837\live\288103.jpg,0
CelebA_Spoof\Data\train\9837\live\390524.jpg,0
CelebA_Spoof\Data\train\9837\live\407927.jpg,0
CelebA_Spoof\Data\train\9837\live\463893.jpg,0
CelebA_Spoof\Data\train\9837\live\475920.jpg,0
CelebA_Spoof\Data\train\9837\live\479333.jpg,0
CelebA_Spoof\Data\train\9837\live\493793.jpg,0
CelebA_Spoof\Data\train\9838\live\012445.jpg,0
CelebA_Spoof\Data\train\9838\live\260029.jpg,0
CelebA_Spoof\Data\train\9838\live\307939.jpg,0
CelebA_Spoof\Data\train\9838\live\312981.jpg,0
CelebA_Spoof\Data\train\9838\live\320689.jpg,0
CelebA_Spoof\Data\train\9838\live\361664.jpg,0
CelebA_Spoof\Data\train\9838\live\395596.jpg,0
CelebA_Spoof\Data\train\9838\live\426955.jpg,0
CelebA_Spoof\Data\train\9838\live\428865.jpg,0
CelebA_Spoof\Data\train\9838\live\457561.jpg,0
CelebA_Spoof\Data\train\9838\live\479547.jpg,0
CelebA_Spoof\Data\train\9838\live\480752.jpg,0
CelebA_Spoof\Data\train\9839\live\038907.jpg,0
CelebA_Spoof\Data\train\9839\live\125225.jpg,0
CelebA_Spoof\Data\train\9839\live\139032.jpg,0
CelebA_Spoof\Data\train\9839\live\163895.jpg,0
CelebA_Spoof\Data\train\9839\live\167655.jpg,0
CelebA_Spoof\Data\train\9839\live\180716.jpg,0
CelebA_Spoof\Data\train\9839\live\342796.jpg,0
CelebA_Spoof\Data\train\9839\live\374316.jpg,0
CelebA_Spoof\Data\train\9839\live\403507.jpg,0
CelebA_Spoof\Data\train\9840\live\035134.jpg,0
CelebA_Spoof\Data\train\9840\live\041734.jpg,0
CelebA_Spoof\Data\train\9840\live\056332.jpg,0
CelebA_Spoof\Data\train\9840\live\061555.jpg,0
CelebA_Spoof\Data\train\9840\live\068664.jpg,0
CelebA_Spoof\Data\train\9840\live\082433.jpg,0
CelebA_Spoof\Data\train\9840\live\088772.jpg,0
CelebA_Spoof\Data\train\9840\live\110427.jpg,0
CelebA_Spoof\Data\train\9840\live\112306.jpg,0
CelebA_Spoof\Data\train\9840\live\118472.jpg,0
CelebA_Spoof\Data\train\9840\live\121950.jpg,0
CelebA_Spoof\Data\train\9840\live\153033.jpg,0
CelebA_Spoof\Data\train\9840\live\157266.jpg,0
CelebA_Spoof\Data\train\9840\live\161591.jpg,0
CelebA_Spoof\Data\train\9840\live\163637.jpg,0
CelebA_Spoof\Data\train\9840\live\172083.jpg,0
CelebA_Spoof\Data\train\9840\live\176935.jpg,0
CelebA_Spoof\Data\train\9840\live\188491.jpg,0
CelebA_Spoof\Data\train\9840\live\217823.jpg,0
CelebA_Spoof\Data\train\9840\live\220458.jpg,0
CelebA_Spoof\Data\train\9840\live\221920.jpg,0
CelebA_Spoof\Data\train\9840\live\273077.jpg,0
CelebA_Spoof\Data\train\9840\live\301537.jpg,0
CelebA_Spoof\Data\train\9840\live\306821.jpg,0
CelebA_Spoof\Data\train\9840\live\316347.jpg,0
CelebA_Spoof\Data\train\9840\live\319344.jpg,0
CelebA_Spoof\Data\train\9840\live\372720.jpg,0
CelebA_Spoof\Data\train\9840\live\373503.jpg,0
CelebA_Spoof\Data\train\9840\live\389098.jpg,0
CelebA_Spoof\Data\train\9840\live\481770.jpg,0
CelebA_Spoof\Data\train\9840\live\491893.jpg,0
CelebA_Spoof\Data\train\9842\live\012196.jpg,0
CelebA_Spoof\Data\train\9842\live\018183.jpg,0
CelebA_Spoof\Data\train\9842\live\044314.jpg,0
CelebA_Spoof\Data\train\9842\live\075689.jpg,0
CelebA_Spoof\Data\train\9842\live\084142.jpg,0
CelebA_Spoof\Data\train\9842\live\116192.jpg,0
CelebA_Spoof\Data\train\9842\live\116548.jpg,0
CelebA_Spoof\Data\train\9842\live\131155.jpg,0
CelebA_Spoof\Data\train\9842\live\143129.jpg,0
CelebA_Spoof\Data\train\9842\live\186153.jpg,0
CelebA_Spoof\Data\train\9842\live\198722.jpg,0
CelebA_Spoof\Data\train\9842\live\210270.jpg,0
CelebA_Spoof\Data\train\9842\live\232894.jpg,0
CelebA_Spoof\Data\train\9842\live\237597.jpg,0
CelebA_Spoof\Data\train\9842\live\280509.jpg,0
CelebA_Spoof\Data\train\9842\live\343676.jpg,0
CelebA_Spoof\Data\train\9842\live\370055.jpg,0
CelebA_Spoof\Data\train\9842\live\400130.jpg,0
CelebA_Spoof\Data\train\9842\live\421620.jpg,0
CelebA_Spoof\Data\train\9842\live\429225.jpg,0
CelebA_Spoof\Data\train\9842\live\473241.jpg,0
CelebA_Spoof\Data\train\9842\live\475522.jpg,0
CelebA_Spoof\Data\train\9842\live\490640.jpg,0
CelebA_Spoof\Data\train\9843\live\020694.jpg,0
CelebA_Spoof\Data\train\9843\live\049083.jpg,0
CelebA_Spoof\Data\train\9843\live\076559.jpg,0
CelebA_Spoof\Data\train\9843\live\086424.jpg,0
CelebA_Spoof\Data\train\9843\live\122173.jpg,0
CelebA_Spoof\Data\train\9843\live\160117.jpg,0
CelebA_Spoof\Data\train\9843\live\162881.jpg,0
CelebA_Spoof\Data\train\9843\live\178632.jpg,0
CelebA_Spoof\Data\train\9843\live\190508.jpg,0
CelebA_Spoof\Data\train\9843\live\219518.jpg,0
CelebA_Spoof\Data\train\9843\live\224459.jpg,0
CelebA_Spoof\Data\train\9843\live\240789.jpg,0
CelebA_Spoof\Data\train\9843\live\250154.jpg,0
CelebA_Spoof\Data\train\9843\live\276445.jpg,0
CelebA_Spoof\Data\train\9843\live\285998.jpg,0
CelebA_Spoof\Data\train\9843\live\295408.jpg,0
CelebA_Spoof\Data\train\9843\live\316103.jpg,0
CelebA_Spoof\Data\train\9843\live\333078.jpg,0
CelebA_Spoof\Data\train\9843\live\335630.jpg,0
CelebA_Spoof\Data\train\9843\live\353254.jpg,0
CelebA_Spoof\Data\train\9843\live\360701.jpg,0
CelebA_Spoof\Data\train\9843\live\383726.jpg,0
CelebA_Spoof\Data\train\9843\live\402291.jpg,0
CelebA_Spoof\Data\train\9843\live\432136.jpg,0
CelebA_Spoof\Data\train\9843\live\437134.jpg,0
CelebA_Spoof\Data\train\9843\live\441524.jpg,0
CelebA_Spoof\Data\train\9843\live\443409.jpg,0
CelebA_Spoof\Data\train\9843\live\449513.jpg,0
CelebA_Spoof\Data\train\9843\live\455498.jpg,0
CelebA_Spoof\Data\train\9843\live\456988.jpg,0
CelebA_Spoof\Data\train\9844\live\066751.jpg,0
CelebA_Spoof\Data\train\9844\live\111794.jpg,0
CelebA_Spoof\Data\train\9844\live\267036.jpg,0
CelebA_Spoof\Data\train\9844\live\269867.jpg,0
CelebA_Spoof\Data\train\9844\live\273801.jpg,0
CelebA_Spoof\Data\train\9844\live\327456.jpg,0
CelebA_Spoof\Data\train\9844\live\342453.jpg,0
CelebA_Spoof\Data\train\9844\live\346352.jpg,0
CelebA_Spoof\Data\train\9844\live\424067.jpg,0
CelebA_Spoof\Data\train\9845\live\052440.jpg,0
CelebA_Spoof\Data\train\9845\live\126235.jpg,0
CelebA_Spoof\Data\train\9845\live\135915.jpg,0
CelebA_Spoof\Data\train\9845\live\240218.jpg,0
CelebA_Spoof\Data\train\9845\live\320373.jpg,0
CelebA_Spoof\Data\train\9845\live\440722.jpg,0
CelebA_Spoof\Data\train\9845\live\443212.jpg,0
CelebA_Spoof\Data\train\9845\live\463435.jpg,0
CelebA_Spoof\Data\train\9846\live\133134.jpg,0
CelebA_Spoof\Data\train\9846\live\142149.jpg,0
CelebA_Spoof\Data\train\9846\live\158129.jpg,0
CelebA_Spoof\Data\train\9846\live\471875.jpg,0
CelebA_Spoof\Data\train\9847\live\011666.jpg,0
CelebA_Spoof\Data\train\9847\live\032939.jpg,0
CelebA_Spoof\Data\train\9847\live\037428.jpg,0
CelebA_Spoof\Data\train\9847\live\090643.jpg,0
CelebA_Spoof\Data\train\9847\live\091961.jpg,0
CelebA_Spoof\Data\train\9847\live\142104.jpg,0
CelebA_Spoof\Data\train\9847\live\160759.jpg,0
CelebA_Spoof\Data\train\9847\live\164655.jpg,0
CelebA_Spoof\Data\train\9847\live\194983.jpg,0
CelebA_Spoof\Data\train\9847\live\229729.jpg,0
CelebA_Spoof\Data\train\9847\live\258983.jpg,0
CelebA_Spoof\Data\train\9847\live\274955.jpg,0
CelebA_Spoof\Data\train\9847\live\322066.jpg,0
CelebA_Spoof\Data\train\9847\live\329881.jpg,0
CelebA_Spoof\Data\train\9847\live\340719.jpg,0
CelebA_Spoof\Data\train\9847\live\341892.jpg,0
CelebA_Spoof\Data\train\9847\live\342410.jpg,0
CelebA_Spoof\Data\train\9847\live\376993.jpg,0
CelebA_Spoof\Data\train\9847\live\407642.jpg,0
CelebA_Spoof\Data\train\9847\live\477077.jpg,0
CelebA_Spoof\Data\train\9847\live\478140.jpg,0
CelebA_Spoof\Data\train\9847\live\485998.jpg,0
CelebA_Spoof\Data\train\9848\live\001113.jpg,0
CelebA_Spoof\Data\train\9848\live\004696.jpg,0
CelebA_Spoof\Data\train\9848\live\007693.jpg,0
CelebA_Spoof\Data\train\9848\live\027617.jpg,0
CelebA_Spoof\Data\train\9848\live\050756.jpg,0
CelebA_Spoof\Data\train\9848\live\085428.jpg,0
CelebA_Spoof\Data\train\9848\live\089525.jpg,0
CelebA_Spoof\Data\train\9848\live\115531.jpg,0
CelebA_Spoof\Data\train\9848\live\121693.jpg,0
CelebA_Spoof\Data\train\9848\live\130993.jpg,0
CelebA_Spoof\Data\train\9848\live\155093.jpg,0
CelebA_Spoof\Data\train\9848\live\188976.jpg,0
CelebA_Spoof\Data\train\9848\live\198532.jpg,0
CelebA_Spoof\Data\train\9848\live\210724.jpg,0
CelebA_Spoof\Data\train\9848\live\215539.jpg,0
CelebA_Spoof\Data\train\9848\live\244451.jpg,0
CelebA_Spoof\Data\train\9848\live\248365.jpg,0
CelebA_Spoof\Data\train\9848\live\258407.jpg,0
CelebA_Spoof\Data\train\9848\live\267868.jpg,0
CelebA_Spoof\Data\train\9848\live\273760.jpg,0
CelebA_Spoof\Data\train\9848\live\286868.jpg,0
CelebA_Spoof\Data\train\9848\live\287716.jpg,0
CelebA_Spoof\Data\train\9848\live\304177.jpg,0
CelebA_Spoof\Data\train\9848\live\304489.jpg,0
CelebA_Spoof\Data\train\9848\live\358513.jpg,0
CelebA_Spoof\Data\train\9848\live\370409.jpg,0
CelebA_Spoof\Data\train\9848\live\403343.jpg,0
CelebA_Spoof\Data\train\9848\live\441136.jpg,0
CelebA_Spoof\Data\train\9848\live\447829.jpg,0
CelebA_Spoof\Data\train\9848\live\457578.jpg,0
CelebA_Spoof\Data\train\985\live\020095.jpg,0
CelebA_Spoof\Data\train\985\live\020862.jpg,0
CelebA_Spoof\Data\train\985\live\046953.jpg,0
CelebA_Spoof\Data\train\985\live\058526.jpg,0
CelebA_Spoof\Data\train\985\live\059653.jpg,0
CelebA_Spoof\Data\train\985\live\068546.jpg,0
CelebA_Spoof\Data\train\985\live\079124.jpg,0
CelebA_Spoof\Data\train\985\live\099408.jpg,0
CelebA_Spoof\Data\train\985\live\099904.jpg,0
CelebA_Spoof\Data\train\985\live\100829.jpg,0
CelebA_Spoof\Data\train\985\live\113051.jpg,0
CelebA_Spoof\Data\train\985\live\126343.jpg,0
CelebA_Spoof\Data\train\985\live\141394.jpg,0
CelebA_Spoof\Data\train\985\live\142175.jpg,0
CelebA_Spoof\Data\train\985\live\153138.jpg,0
CelebA_Spoof\Data\train\985\live\160883.jpg,0
CelebA_Spoof\Data\train\985\live\178314.jpg,0
CelebA_Spoof\Data\train\985\live\204661.jpg,0
CelebA_Spoof\Data\train\985\live\208462.jpg,0
CelebA_Spoof\Data\train\985\live\266588.jpg,0
CelebA_Spoof\Data\train\985\live\276894.jpg,0
CelebA_Spoof\Data\train\985\live\280405.jpg,0
CelebA_Spoof\Data\train\985\live\321123.jpg,0
CelebA_Spoof\Data\train\985\live\327278.jpg,0
CelebA_Spoof\Data\train\985\live\337651.jpg,0
CelebA_Spoof\Data\train\985\live\343649.jpg,0
CelebA_Spoof\Data\train\985\live\347279.jpg,0
CelebA_Spoof\Data\train\985\live\349423.jpg,0
CelebA_Spoof\Data\train\985\live\392377.jpg,0
CelebA_Spoof\Data\train\985\live\395508.jpg,0
CelebA_Spoof\Data\train\985\live\401792.jpg,0
CelebA_Spoof\Data\train\985\live\450433.jpg,0
CelebA_Spoof\Data\train\985\live\451076.jpg,0
CelebA_Spoof\Data\train\985\live\453500.jpg,0
CelebA_Spoof\Data\train\985\live\458915.jpg,0
CelebA_Spoof\Data\train\985\live\462681.jpg,0
CelebA_Spoof\Data\train\985\live\479734.jpg,0
CelebA_Spoof\Data\train\9850\live\022288.jpg,0
CelebA_Spoof\Data\train\9850\live\028951.jpg,0
CelebA_Spoof\Data\train\9850\live\039161.jpg,0
CelebA_Spoof\Data\train\9850\live\051939.jpg,0
CelebA_Spoof\Data\train\9850\live\054290.jpg,0
CelebA_Spoof\Data\train\9850\live\068326.jpg,0
CelebA_Spoof\Data\train\9850\live\073924.jpg,0
CelebA_Spoof\Data\train\9850\live\083257.jpg,0
CelebA_Spoof\Data\train\9850\live\094609.jpg,0
CelebA_Spoof\Data\train\9850\live\151333.jpg,0
CelebA_Spoof\Data\train\9850\live\158692.jpg,0
CelebA_Spoof\Data\train\9850\live\190616.jpg,0
CelebA_Spoof\Data\train\9850\live\225965.jpg,0
CelebA_Spoof\Data\train\9850\live\229012.jpg,0
CelebA_Spoof\Data\train\9850\live\257570.jpg,0
CelebA_Spoof\Data\train\9850\live\264857.jpg,0
CelebA_Spoof\Data\train\9850\live\302486.jpg,0
CelebA_Spoof\Data\train\9850\live\304881.jpg,0
CelebA_Spoof\Data\train\9850\live\344021.jpg,0
CelebA_Spoof\Data\train\9850\live\350896.jpg,0
CelebA_Spoof\Data\train\9850\live\353263.jpg,0
CelebA_Spoof\Data\train\9850\live\363749.jpg,0
CelebA_Spoof\Data\train\9850\live\369384.jpg,0
CelebA_Spoof\Data\train\9850\live\369388.jpg,0
CelebA_Spoof\Data\train\9850\live\394245.jpg,0
CelebA_Spoof\Data\train\9850\live\415031.jpg,0
CelebA_Spoof\Data\train\9850\live\430342.jpg,0
CelebA_Spoof\Data\train\9850\live\441377.jpg,0
CelebA_Spoof\Data\train\9850\live\442670.jpg,0
CelebA_Spoof\Data\train\9850\live\447471.jpg,0
CelebA_Spoof\Data\train\9851\live\010186.jpg,0
CelebA_Spoof\Data\train\9851\live\062492.jpg,0
CelebA_Spoof\Data\train\9851\live\158046.jpg,0
CelebA_Spoof\Data\train\9851\live\166178.jpg,0
CelebA_Spoof\Data\train\9851\live\186893.jpg,0
CelebA_Spoof\Data\train\9851\live\252940.jpg,0
CelebA_Spoof\Data\train\9851\live\372888.jpg,0
CelebA_Spoof\Data\train\9851\live\491228.jpg,0
CelebA_Spoof\Data\train\9853\live\001356.jpg,0
CelebA_Spoof\Data\train\9853\live\041646.jpg,0
CelebA_Spoof\Data\train\9853\live\087560.jpg,0
CelebA_Spoof\Data\train\9853\live\097357.jpg,0
CelebA_Spoof\Data\train\9853\live\231681.jpg,0
CelebA_Spoof\Data\train\9853\live\274618.jpg,0
CelebA_Spoof\Data\train\9853\live\292417.jpg,0
CelebA_Spoof\Data\train\9853\live\301778.jpg,0
CelebA_Spoof\Data\train\9853\live\324964.jpg,0
CelebA_Spoof\Data\train\9853\live\350584.jpg,0
CelebA_Spoof\Data\train\9853\live\360042.jpg,0
CelebA_Spoof\Data\train\9853\live\407248.jpg,0
CelebA_Spoof\Data\train\9853\live\432038.jpg,0
CelebA_Spoof\Data\train\9854\live\001918.jpg,0
CelebA_Spoof\Data\train\9854\live\009862.jpg,0
CelebA_Spoof\Data\train\9854\live\035835.jpg,0
CelebA_Spoof\Data\train\9854\live\040373.jpg,0
CelebA_Spoof\Data\train\9854\live\044614.jpg,0
CelebA_Spoof\Data\train\9854\live\047035.jpg,0
CelebA_Spoof\Data\train\9854\live\052753.jpg,0
CelebA_Spoof\Data\train\9854\live\062333.jpg,0
CelebA_Spoof\Data\train\9854\live\090695.jpg,0
CelebA_Spoof\Data\train\9854\live\096750.jpg,0
CelebA_Spoof\Data\train\9854\live\100483.jpg,0
CelebA_Spoof\Data\train\9854\live\145409.jpg,0
CelebA_Spoof\Data\train\9854\live\147831.jpg,0
CelebA_Spoof\Data\train\9854\live\204090.jpg,0
CelebA_Spoof\Data\train\9854\live\278532.jpg,0
CelebA_Spoof\Data\train\9854\live\279986.jpg,0
CelebA_Spoof\Data\train\9854\live\294966.jpg,0
CelebA_Spoof\Data\train\9854\live\355362.jpg,0
CelebA_Spoof\Data\train\9854\live\357291.jpg,0
CelebA_Spoof\Data\train\9854\live\375002.jpg,0
CelebA_Spoof\Data\train\9854\live\378095.jpg,0
CelebA_Spoof\Data\train\9854\live\381518.jpg,0
CelebA_Spoof\Data\train\9854\live\404748.jpg,0
CelebA_Spoof\Data\train\9854\live\413904.jpg,0
CelebA_Spoof\Data\train\9854\live\427045.jpg,0
CelebA_Spoof\Data\train\9854\live\444582.jpg,0
CelebA_Spoof\Data\train\9854\live\447175.jpg,0
CelebA_Spoof\Data\train\9854\live\490574.jpg,0
CelebA_Spoof\Data\train\9855\live\009130.jpg,0
CelebA_Spoof\Data\train\9855\live\022748.jpg,0
CelebA_Spoof\Data\train\9855\live\066600.jpg,0
CelebA_Spoof\Data\train\9855\live\086289.jpg,0
CelebA_Spoof\Data\train\9855\live\102497.jpg,0
CelebA_Spoof\Data\train\9855\live\113829.jpg,0
